Date,Open,High,Low,Close,Volume,Market Cap,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
2017-12-30,14681.9,14681.9,12350.1,12952.2,14452600000,246224000000,13215.574,16772462.5,221657719331,1728481566.87,148944.581153,1.03688201361,0,2342.9047619,10.7,13687548.998,1873105475220,33640243.617,778.5711097,0.876877531621,100.383793998,815099,344407,287525242,327455,187663,2243962.34387,298339.393514,3942726332.1
2017-12-29,14695.8,15279,14307,14656.2,13025500000,246428000000,14640.14,16770625,245524297888,1274049463.72,148792.159497,1.04775371515,0,2144.38787879,8.06666666667,15363575.406,1873105475220,40531227.59,785.79504963,1.13223540164,117.853617301,838925,353824,287180835,337150,182523,2311057.65923,251563.857261,3682930089.23
2017-12-28,15864.1,15888.4,13937.3,14606.5,12336500000,265988000000,14380.5816667,16768562.5,241141682464,1883494461.43,148619.280134,1.08320304027,0,2047.33557047,9.8,13873774.1545,1873105475220,37008426.9192,785.83389168,1.05255514394,124.84578683,741488,305053,286827011,290853,171224,2067417.47416,251609.98993,3618298008.33
2017-12-27,16163.5,16930.9,15114.3,15838.5,12487600000,270976000000,15589.3216667,16766700,261381479588,1619268857.17,148457.882881,1.06759478846,0,1972.06410256,8.13333333333,14525562.202,1873105475220,41529952.92,784.81712352,0.908155163956,138.58297579,749191,307642,286521958,293690,168263,2323583.6184,301139.852755,4694566031.24
2017-12-26,14036.6,16461.2,14028.9,16099.8,13454300000,235294000000,15999.0483333,16764750,268220045546,1745062014.35,148291.338094,1.05031311972,0,1742.53521127,13.375,13221986.107,1873105475220,38893686.4983,725.62381816,1.26103038114,161.686070685,605853,247440,286214316,232606,153759,2185221.90059,198300.045389,3172612010.67
2017-12-25,13995.9,14593,13448.9,14026.6,10664700000,234590000000,14119.0283333,16762975,236676918976,1134112808.24,148142.193631,1.05074595556,0,1695.74814815,10.5,12570198.0594,1873105475220,32706729.1342,689.39441204,1.33193410634,146.595142312,565074,228926,285966876,216690,148542,1810627.09799,178454.354516,2519602087.62
2017-12-24,14608.2,14626,12747.7,13925.8,11572300000,244824000000,13949.175,16761287.5,233806132563,1798168177.65,148000.342927,1.06414286184,0,1838.96710526,10.8666666667,14153111.8891,1873105475220,37634874.15,881.12136284,1.52272756101,138.787679677,652209,279523,285737950,267959,202080,1427328.52493,182640.771341,2547688081.56
2017-12-23,13948.7,15603.2,13828.8,14699.2,13086000000,233748000000,15360.2616667,16759387.5,257428577373,1967536506.4,147838.593212,1.06003796403,0,2217.34532374,14.0166666667,12942648.3723,1873105475220,41833672.6492,1065.61559484,1.74647938389,139.698417703,729637,308211,285458427,290746,198555,1781229.26358,160500.926647,2465336231.04
2017-12-22,15898,15943.4,11833,13831.8,22198000000,266381000000,15190.945,16757650,254564539479,5352015515.54,147691.247935,1.06231906452,0,2455.79354839,16.5,14432449.6238,1873105475220,51049170.6725,1495.94647734,1.17971241041,137.022384454,890731,380648,285150216,360730,234495,1901698.95019,291040.972957,4421187412.93
2017-12-21,16642.4,17567.7,15342.7,15802.9,16516600000,278827000000,16047.51,16755712.5,268887463901,1989091729.43,147526.58848,1.03869209091,0,2541.53030303,10.85,12290860.3248,1873105475220,43552942.14,1128.76167038,1.21826587934,132.919815946,840739,335482,284769568,318502,188722,1791086.42938,228091.561744,3660301618.01
